ticker,name,market
000250,,KOSDAQ
003380,,KOSDAQ
005290,,KOSDAQ
006730,,KOSDAQ
007390,,KOSDAQ
009520,,KOSDAQ
014620,,KOSDAQ
015750,,KOSDAQ
018290,,KOSDAQ
023160,,KOSDAQ
025320,,KOSDAQ
025980,,KOSDAQ
028300,,KOSDAQ
030520,,KOSDAQ
030530,,KOSDAQ
031980,,KOSDAQ
032190,,KOSDAQ
032500,,KOSDAQ
032820,,KOSDAQ
033100,,KOSDAQ
033500,,KOSDAQ
035760,,KOSDAQ
035900,,KOSDAQ
036540,,KOSDAQ
036620,,KOSDAQ
036810,,KOSDAQ
036830,,KOSDAQ
036930,,KOSDAQ
038500,,KOSDAQ
039030,,KOSDAQ
039200,,KOSDAQ
041190,,KOSDAQ
041510,,KOSDAQ
042000,,KOSDAQ
043260,,KOSDAQ
044490,,KOSDAQ
045100,,KOSDAQ
047920,,KOSDAQ
048410,,KOSDAQ
049630,,KOSDAQ
052020,,KOSDAQ
052400,,KOSDAQ
053800,,KOSDAQ
056080,,KOSDAQ
056190,,KOSDAQ
058470,,KOSDAQ
058610,,KOSDAQ
060250,,KOSDAQ
060280,,KOSDAQ
060370,,KOSDAQ
064260,,KOSDAQ
064760,,KOSDAQ
065350,,KOSDAQ
067160,,KOSDAQ
067310,,KOSDAQ
067630,,KOSDAQ
068760,,KOSDAQ
069080,,KOSDAQ
074600,,KOSDAQ
078160,,KOSDAQ
078600,,KOSDAQ
079370,,KOSDAQ
080220,,KOSDAQ
082270,,KOSDAQ
082920,,KOSDAQ
083650,,KOSDAQ
084110,,KOSDAQ
084370,,KOSDAQ
085660,,KOSDAQ
086450,,KOSDAQ
086520,,KOSDAQ
086900,,KOSDAQ
087010,,KOSDAQ
089010,,KOSDAQ
089030,,KOSDAQ
089970,,KOSDAQ
090360,,KOSDAQ
090710,,KOSDAQ
093320,,KOSDAQ
094170,,KOSDAQ
095340,,KOSDAQ
095610,,KOSDAQ
095660,,KOSDAQ
096530,,KOSDAQ
098460,,KOSDAQ
099320,,KOSDAQ
100790,,KOSDAQ
101490,,KOSDAQ
101730,,KOSDAQ
102710,,KOSDAQ
102940,,KOSDAQ
108490,,KOSDAQ
112040,,KOSDAQ
115180,,KOSDAQ
119850,,KOSDAQ
121600,,KOSDAQ
122870,,KOSDAQ
124500,,KOSDAQ
125490,,KOSDAQ
126340,,KOSDAQ
127120,,KOSDAQ
131290,,KOSDAQ
131970,,KOSDAQ
137400,,KOSDAQ
140410,,KOSDAQ
140860,,KOSDAQ
141080,,KOSDAQ
145020,,KOSDAQ
160190,,KOSDAQ
161580,,KOSDAQ
166090,,KOSDAQ
174900,,KOSDAQ
178320,,KOSDAQ
183300,,KOSDAQ
189300,,KOSDAQ
195940,,KOSDAQ
196170,,KOSDAQ
204270,,KOSDAQ
211050,,KOSDAQ
213420,,KOSDAQ
214150,,KOSDAQ
214370,,KOSDAQ
214430,,KOSDAQ
214450,,KOSDAQ
215600,,KOSDAQ
218410,,KOSDAQ
220100,,KOSDAQ
222080,,KOSDAQ
222800,,KOSDAQ
225570,,KOSDAQ
226950,,KOSDAQ
232140,,KOSDAQ
237690,,KOSDAQ
240810,,KOSDAQ
241710,,KOSDAQ
247540,,KOSDAQ
251970,,KOSDAQ
253450,,KOSDAQ
253590,,KOSDAQ
257720,,KOSDAQ
263750,,KOSDAQ
272290,,KOSDAQ
277810,,KOSDAQ
278280,,KOSDAQ
281740,,KOSDAQ
287840,,KOSDAQ
290650,,KOSDAQ
293490,,KOSDAQ
295310,,KOSDAQ
298380,,KOSDAQ
310210,,KOSDAQ
319400,,KOSDAQ
319660,,KOSDAQ
323280,,KOSDAQ
328130,,KOSDAQ
336570,,KOSDAQ
347700,,KOSDAQ
347850,,KOSDAQ
348210,,KOSDAQ
348340,,KOSDAQ
348370,,KOSDAQ
357780,,KOSDAQ
358570,,KOSDAQ
365340,,KOSDAQ
368770,,KOSDAQ
372320,,KOSDAQ
376270,,KOSDAQ
376300,,KOSDAQ
376900,,KOSDAQ
383310,,KOSDAQ
388210,,KOSDAQ
388720,,KOSDAQ
389470,,KOSDAQ
389650,,KOSDAQ
397030,,KOSDAQ
399720,,KOSDAQ
403870,,KOSDAQ
417200,,KOSDAQ
420770,,KOSDAQ
424870,,KOSDAQ
437730,,KOSDAQ
440110,,KOSDAQ
445680,,KOSDAQ
455900,,KOSDAQ
456160,,KOSDAQ
458870,,KOSDAQ
460930,,KOSDAQ
466100,,KOSDAQ
468530,,KOSDAQ
475830,,KOSDAQ
475960,,KOSDAQ
476060,,KOSDAQ
486990,,KOSDAQ
488900,,KOSDAQ
950160,,KOSDAQ
000100,유한양행,KOSPI
000120,CJ대한통운,KOSPI
000150,두산,KOSPI
000240,한국앤컴퍼니,KOSPI
000270,기아,KOSPI
000500,가온전선,KOSPI
000660,SK하이닉스,KOSPI
000720,현대건설,KOSPI
000810,삼성화재,KOSPI
000880,한화,KOSPI
000990,DB하이텍,KOSPI
001040,CJ,KOSPI
001120,LX인터내셔널,KOSPI
001430,세아베스틸지주,KOSPI
001440,대한전선,KOSPI
001450,현대해상,KOSPI
001720,신영증권,KOSPI
002380,KCC,KOSPI
002790,아모레퍼시픽홀딩스,KOSPI
003230,삼양식품,KOSPI
003490,대한항공,KOSPI
003540,대신증권,KOSPI
003550,LG,KOSPI
003570,SNT다이내믹스,KOSPI
003670,포스코퓨처엠,KOSPI
003690,코리안리,KOSPI
004020,현대제철,KOSPI
004170,신세계,KOSPI
004370,농심,KOSPI
004800,효성,KOSPI
004990,롯데지주,KOSPI
005380,현대차,KOSPI
005490,POSCO홀딩스,KOSPI
005830,DB손해보험,KOSPI
005850,에스엘,KOSPI
005930,삼성전자,KOSPI
005940,NH투자증권,KOSPI
006040,동원산업,KOSPI
006260,LS,KOSPI
006280,녹십자,KOSPI
006360,GS건설,KOSPI
006400,삼성SDI,KOSPI
006800,미래에셋증권,KOSPI
007070,GS리테일,KOSPI
007310,오뚜기,KOSPI
007340,DN오토모티브,KOSPI
007660,이수페타시스,KOSPI
008770,호텔신라,KOSPI
008930,한미사이언스,KOSPI
009150,삼성전기,KOSPI
009420,한올바이오파마,KOSPI
009540,HD한국조선해양,KOSPI
009830,한화솔루션,KOSPI
009970,영원무역홀딩스,KOSPI
010060,OCI홀딩스,KOSPI
010120,LS ELECTRIC,KOSPI
010130,고려아연,KOSPI
010140,삼성중공업,KOSPI
010950,S-Oil,KOSPI
011070,LG이노텍,KOSPI
011170,롯데케미칼,KOSPI
011200,HMM,KOSPI
011210,현대위아,KOSPI
011780,금호석유화학,KOSPI
011790,SKC,KOSPI
012330,현대모비스,KOSPI
012450,한화에어로스페이스,KOSPI
012510,더존비즈온,KOSPI
012750,에스원,KOSPI
014680,한솔케미칼,KOSPI
015760,한국전력,KOSPI
016360,삼성증권,KOSPI
017670,SK텔레콤,KOSPI
017800,현대엘리베이터,KOSPI
017960,한국카본,KOSPI
018260,삼성에스디에스,KOSPI
018670,SK가스,KOSPI
018880,한온시스템,KOSPI
020150,롯데에너지머티리얼즈,KOSPI
020560,아시아나항공,KOSPI
021240,코웨이,KOSPI
022100,포스코DX,KOSPI
023530,롯데쇼핑,KOSPI
023590,다우기술,KOSPI
024110,기업은행,KOSPI
026960,동서,KOSPI
028050,삼성E&A,KOSPI
028260,삼성물산,KOSPI
028670,팬오션,KOSPI
029780,삼성카드,KOSPI
030000,제일기획,KOSPI
030200,KT,KOSPI
032350,롯데관광개발,KOSPI
032640,LG유플러스,KOSPI
032830,삼성생명,KOSPI
033780,KT&G,KOSPI
034020,두산에너빌리티,KOSPI
034220,LG디스플레이,KOSPI
034230,파라다이스,KOSPI
034730,SK,KOSPI
035250,강원랜드,KOSPI
035420,NAVER,KOSPI
035720,카카오,KOSPI
036460,한국가스공사,KOSPI
036570,엔씨소프트,KOSPI
039490,키움증권,KOSPI
042660,한화오션,KOSPI
042700,한미반도체,KOSPI
047040,대우건설,KOSPI
047050,포스코인터내셔널,KOSPI
047810,한국항공우주,KOSPI
051600,한전KPS,KOSPI
051900,LG생활건강,KOSPI
051910,LG화학,KOSPI
052690,한전기술,KOSPI
055550,신한지주,KOSPI
064350,현대로템,KOSPI
064400,LG씨엔에스,KOSPI
066570,LG전자,KOSPI
066970,엘앤에프,KOSPI
068270,셀트리온,KOSPI
069620,대웅제약,KOSPI
069960,현대백화점,KOSPI
071050,한국금융지주,KOSPI
071970,HD현대마린엔진,KOSPI
073240,금호타이어,KOSPI
077970,STX엔진,KOSPI
078930,GS,KOSPI
079550,LIG넥스원,KOSPI
081660,미스토홀딩스,KOSPI
082740,한화엔진,KOSPI
085620,미래에셋생명,KOSPI
086280,현대글로비스,KOSPI
086790,하나금융지주,KOSPI
088350,한화생명,KOSPI
090430,아모레퍼시픽,KOSPI
096770,SK이노베이션,KOSPI
097230,HJ중공업,KOSPI
097950,CJ제일제당,KOSPI
103140,풍산,KOSPI
103590,일진전기,KOSPI
105560,KB금융,KOSPI
111770,영원무역,KOSPI
112610,씨에스윈드,KOSPI
128940,한미약품,KOSPI
138040,메리츠금융지주,KOSPI
138930,BNK금융지주,KOSPI
139130,iM금융지주,KOSPI
139480,이마트,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
161890,한국콜마,KOSPI
175330,JB금융지주,KOSPI
180640,한진칼,KOSPI
192820,코스맥스,KOSPI
204320,HL만도,KOSPI
207940,삼성바이오로직스,KOSPI
241560,두산밥캣,KOSPI
251270,넷마블,KOSPI
259960,크래프톤,KOSPI
267250,HD현대,KOSPI
267260,HD현대일렉트릭,KOSPI
267270,HD건설기계,KOSPI
271560,오리온,KOSPI
272210,한화시스템,KOSPI
278470,에이피알,KOSPI
282330,BGF리테일,KOSPI
298020,효성티앤씨,KOSPI
298040,효성중공업,KOSPI
302440,SK바이오사이언스,KOSPI
307950,현대오토에버,KOSPI
316140,우리금융지주,KOSPI
326030,SK바이오팜,KOSPI
329180,HD현대중공업,KOSPI
336260,두산퓨얼셀,KOSPI
352820,하이브,KOSPI
353200,대덕전자,KOSPI
361610,SK아이이테크놀로지,KOSPI
373220,LG에너지솔루션,KOSPI
375500,DL이앤씨,KOSPI
377300,카카오페이,KOSPI
383220,F&F,KOSPI
395400,SK리츠,KOSPI
402340,SK스퀘어,KOSPI
443060,HD현대마린솔루션,KOSPI
454910,두산로보틱스,KOSPI
483650,달바글로벌,KOSPI
489790,한화비전,KOSPI
